1000 3
1 2 2 
11 14 1
1 5 2
12 14 3
1 4 2
20 23 3
3 6 3
3 7 3
5 7 3
15 18 2
11 13 1
5 9 2
13 17 2
5 7 1
11 14 2
7 12 2
19 23 2
23 3 1
19 20 3
3 6 1
15 18 2
11 14 2
14 17 3
13 16 3
12 15 1
19 21 1
23 2 1
10 12 2
3 5 3
6 11 2
8 12 1
6 9 2
4 7 1
15 18 3
10 13 3
16 18 2
17 18 1
5 5 2
17 20 2
4 6 1
14 19 1
14 18 3
2 4 2
14 18 3
0 4 2
4 9 2
15 17 1
23 3 2
16 20 2
11 15 2
12 16 1
0 3 3
1 5 2
11 15 2
8 13 3
16 19 2
14 17 2
3 5 3
18 19 3
0 4 1
22 2 2
8 12 3
16 20 1
17 21 2
6 9 3
2 4 3
10 13 3
20 0 2
22 23 3
2 6 2
1 3 2
2 5 1
4 7 3
5 7 3
16 19 1
0 4 2
7 9 2
11 15 2
16 19 1
19 22 3
15 19 3
10 12 3
10 11 3
23 2 1
0 3 3
22 1 1
10 11 3
20 23 2
8 10 2
3 6 3
19 22 3
10 12 2
8 13 3
18 20 1
14 18 1
0 3 3
2 7 2
23 3 2
19 23 1
18 23 1
8 8 1
14 18 1
0 1 1
10 14 2
9 13 1
9 12 3
17 19 2
6 8 1
11 14 3
16 19 2
1 2 3
11 14 3
10 13 2
11 15 3
20 23 1
4 7 1
5 7 2
4 5 3
6 9 2
16 20 2
21 0 1
1 3 1
13 18 2
4 7 3
5 7 1
11 17 1
2 4 2
1 3 1
17 20 1
9 12 1
19 22 2
5 8 2
18 23 2
12 14 2
23 2 1
6 9 2
9 12 3
11 16 2
11 16 1
16 20 2
1 4 3
14 18 1
3 7 1
21 0 3
12 14 3
16 20 1
3 5 2
9 12 3
18 22 3
1 2 2
5 8 1
0 1 1
9 12 1
4 8 1
2 6 3
21 1 1
2 5 1
9 11 3
19 23 1
18 20 2
17 19 3
7 8 2
5 7 3
16 20 3
18 22 2
0 3 2
21 23 1
5 8 1
18 20 3
16 20 2
13 16 3
18 21 3
13 15 3
22 0 2
17 19 3
1 3 2
8 12 3
7 10 1
18 21 2
13 17 1
10 14 2
4 8 3
17 18 1
4 7 2
8 11 1
11 13 3
19 22 2
16 20 2
0 3 1
6 9 2
14 17 1
5 8 1
21 0 3
13 14 1
16 19 1
1 4 3
15 20 1
2 5 3
18 21 1
21 0 2
4 6 1
16 19 1
12 15 2
20 23 1
6 11 1
2 5 2
21 23 2
4 6 2
4 7 1
17 20 3
23 1 2
22 0 1
10 15 3
23 2 3
22 0 1
21 2 2
0 2 3
4 7 1
22 1 3
0 2 2
12 15 1
8 11 1
7 10 3
15 18 1
18 21 3
14 18 1
2 5 2
7 10 3
19 21 2
6 11 1
10 15 1
19 22 3
18 19 2
17 19 2
18 20 3
12 15 2
10 13 1
7 10 2
15 18 3
22 0 1
0 2 3
10 12 2
3 6 3
11 15 3
7 11 1
2 3 1
9 12 2
7 9 2
11 16 1
20 23 2
18 23 2
7 11 1
8 10 3
15 19 1
7 11 1
20 23 3
3 7 2
8 9 2
20 22 2
12 15 1
10 14 1
14 17 1
2 4 3
3 6 3
6 9 1
5 7 3
2 5 2
2 5 2
2 7 1
8 11 2
8 12 1
23 2 1
